year,avg_central_pressure,avg_wind_speed
1951,984.5164141414141,
1952,986.9366028708134,
1953,984.5671296296297,
1954,980.5983493810179,
1955,990.9184149184149,
1956,985.9822866344606,
1957,980.7607891491986,
1958,983.3846938775511,
1959,981.8121890547263,
1960,989.4540389972145,
1961,986.3643979057591,
1962,985.2151111111111,
1963,987.7520361990951,
1964,990.7953941541186,
1965,989.498812351544,
1966,990.8423645320197,
1967,987.0494001411432,
1968,982.6222222222223,
1969,983.0959097320169,
1970,984.4607721046077,
1971,986.8147321428571,
1972,985.0592216582064,
1973,989.7327188940092,
1974,990.6298997265269,
1975,985.4383164005806,
1976,982.4300736067297,
1977,986.1454311454312,31.975546975546976
1978,986.0371747211896,34.02416356877323
1979,983.2565997888067,35.45406546990496
1980,984.497641509434,36.6627358490566
1981,985.9777777777778,30.7979797979798
1982,981.8138195777351,41.602687140115165
1983,985.1509433962265,34.782293178519595
1984,985.1949339207049,35.401982378854626
1985,989.1456815816857,32.43496357960458
1986,985.3704891740176,34.86367281475541
1987,978.7153679653679,43.52272727272727
1988,988.74715261959,32.2380410022779
1989,983.5480116391852,37.59456838021339
1990,981.2694198623402,40.08849557522124
1991,978.0804416403786,43.71845425867508
1992,981.2928679817906,39.55993930197268
1993,987.3385321100917,33.41284403669725
1994,983.7460857726345,38.35602450646699
1995,987.7876712328767,33.50684931506849
1996,983.5871886120997,36.837188612099645
1997,977.9768740031898,42.37240829346093
1998,983.3874458874459,38.53896103896104
1999,991.9186746987951,25.323795180722893
2000,983.1786120591581,37.06484641638225
2001,981.8291069459757,40.19294377067255
2002,976.6994106090373,44.27308447937131
2003,979.9988636363636,39.66477272727273
2004,978.5845588235294,41.5
2005,978.6146788990826,43.39449541284404
2006,978.2943181818182,44.99431818181818
2007,983.6957055214724,37.61349693251534
2008,986.7105643994212,34.06657018813314
2009,981.3912515188335,39.617253948967196
2010,985.2285067873303,37.05882352941177
2011,984.048463356974,36.684397163120565
2012,982.6063829787234,39.03771760154739
2013,984.271186440678,35.773305084745765
2014,980.0121802679658,41.084043848964676
2015,977.3707037643208,45.274140752864156
2016,981.290523690773,38.5785536159601
2017,987.3552479815455,33.50057670126874
2018,982.8888888888889,37.955555555555556
2019,987.0506692160612,34.717973231357554
2020,990.2477064220184,30.163826998689384
2021,985.8532110091743,34.3348623853211
2022,985.8608458390178,34.010914051841745
